1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,1
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
2,6,0,0,1.000000,0.000000,0.000000,6
1,2,0,0,1.000000,0.000000,0.000000,2
3,3,0,0,1.000000,0.000000,0.000000,3
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,4,0,0,1.000000,0.000000,0.000000,4
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,1,0,0,1.000000,0.000000,0.000000,1
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,1
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,3,0,0,1.000000,0.000000,0.000000,4
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
3,3,0,0,1.000000,0.000000,0.000000,3
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
3,6,0,0,1.000000,0.000000,0.000000,6
1,1,0,0,1.000000,0.000000,0.000000,1
0,0,0,0,0.000000,0.000000,0.000000,0
2,2,0,0,1.000000,0.000000,0.000000,2
1,4,0,0,1.000000,0.000000,0.000000,4
1,3,0,0,1.000000,0.000000,0.000000,3
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,3,0,0,1.000000,0.000000,0.000000,3
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,5,0,0,1.000000,0.000000,0.000000,5
2,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,3
2,3,0,0,1.000000,0.000000,0.000000,3
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,1,0,0,1.000000,0.000000,0.000000,1
1,1,0,0,1.000000,0.000000,0.000000,1
1,1,0,0,1.000000,0.000000,0.000000,1
1,1,0,0,1.000000,0.000000,0.000000,1
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,5,0,0,1.000000,0.000000,0.000000,5
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,4,0,0,1.000000,0.000000,0.000000,4
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
2,3,0,0,1.000000,0.000000,0.000000,3
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
2,4,0,0,1.000000,0.000000,0.000000,5
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,1,0,0,1.000000,0.000000,0.000000,1
2,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
3,5,0,0,1.000000,0.000000,0.000000,6
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
2,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,5,0,0,1.000000,0.000000,0.000000,5
2,5,0,0,1.000000,0.000000,0.000000,5
2,5,0,0,1.000000,0.000000,0.000000,5
1,2,0,0,1.000000,0.000000,0.000000,2
2,5,0,0,1.000000,0.000000,0.000000,5
2,5,0,0,1.000000,0.000000,0.000000,5
2,5,0,0,1.000000,0.000000,0.000000,5
2,5,0,0,1.000000,0.000000,0.000000,5
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
2,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,7
2,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,3,0,0,1.000000,0.000000,0.000000,3
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,3
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
2,5,0,0,1.000000,0.000000,0.000000,5
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,5
1,1,0,0,1.000000,0.000000,0.000000,2
1,5,0,0,1.000000,0.000000,0.000000,6
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,3,0,0,1.000000,0.000000,0.000000,3
1,1,0,0,1.000000,0.000000,0.000000,1
1,3,0,0,1.000000,0.000000,0.000000,3
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
4,10,0,0,1.000000,0.000000,0.000000,14
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,3,0,0,1.000000,0.000000,0.000000,3
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,3
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,3,0,0,1.000000,0.000000,0.000000,3
2,5,0,0,1.000000,0.000000,0.000000,5
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
0,0,0,0,0.000000,0.000000,0.000000,0
1,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,4,0,0,1.000000,0.000000,0.000000,4
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,3,0,0,1.000000,0.000000,0.000000,3
0,0,0,0,0.000000,0.000000,0.000000,0
2,4,0,0,1.000000,0.000000,0.000000,4
1,4,0,0,1.000000,0.000000,0.000000,4
1,3,0,0,1.000000,0.000000,0.000000,3
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,4,0,0,1.000000,0.000000,0.000000,6
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
0,0,0,0,0.000000,0.000000,0.000000,0
1,2,0,0,1.000000,0.000000,0.000000,2
1,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
2,4,0,0,1.000000,0.000000,0.000000,4
1,7,0,0,1.000000,0.000000,0.000000,7
1,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
1,3,0,0,1.000000,0.000000,0.000000,3
3,5,0,0,1.000000,0.000000,0.000000,5
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
2,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
1,2,0,0,1.000000,0.000000,0.000000,2
3,3,0,0,1.000000,0.000000,0.000000,3
1,1,0,0,1.000000,0.000000,0.000000,1
0,0,0,0,0.000000,0.000000,0.000000,0
